,word,totalRepetitions,fileOcurrences,weight
77,fallen,107,12,0.4984472049689441
132,knows,62,20,0.4813664596273292
78,falling,64,19,0.4720496894409938
96,gift,52,23,0.4642857142857143
108,greater,77,15,0.4483695652173913
1,'bout,50,23,0.44642857142857145
213,sea,51,22,0.4355590062111801
35,born,58,18,0.4052795031055901
71,everyday,64,16,0.39751552795031053
192,passion,101,10,0.3920807453416149
238,stronger,62,16,0.38509316770186336
32,birthday,110,9,0.3843167701863354
165,miracle,98,10,0.3804347826086957
252,thrill,57,17,0.3761645962732919
23,awesome,120,8,0.37267080745341613
170,move,50,19,0.3687888198757764
267,waiting,52,18,0.36335403726708076
17,anymore,50,17,0.3299689440993789
246,thank,52,15,0.3027950310559006
117,higher,58,13,0.29270186335403725
36,bottom,55,13,0.27756211180124224
207,rock,85,8,0.2639751552795031
169,mother,84,8,0.2608695652173913
15,angel,54,12,0.2515527950310559
216,sex,81,8,0.2515527950310559
109,hallelujah,62,10,0.2406832298136646
33,bit,52,11,0.2220496894409938
177,navidad,95,6,0.22127329192546583
84,feliz,95,6,0.22127329192546583
119,holiday,51,11,0.21777950310559005
205,ride,60,8,0.18633540372670807
153,lust,82,4,0.12732919254658384
208,rollercoaster,54,1,0.02096273291925466
