,Unnamed: 0,word,totalRepetitions,fileOcurrences,weight
82,195,said,128,80,3.9751552795031055
84,151,mind,120,81,3.773291925465839
85,142,made,139,68,3.669254658385093
86,131,look,131,71,3.610636645962733
89,78,free,134,61,3.173136645962733
90,55,enough,151,52,3.048136645962733
91,213,something,119,64,2.9565217391304346
92,187,real,222,34,2.9301242236024843
94,207,show,138,54,2.8928571428571432
95,80,friends,108,63,2.641304347826087
96,246,try,99,66,2.5364906832298137
97,220,stay,94,68,2.481366459627329
98,109,hope,120,53,2.4689440993788816
100,56,even,106,59,2.4277950310559007
101,125,light,99,62,2.3827639751552794
102,177,party,306,20,2.375776397515528
104,21,better,121,49,2.301630434782609
108,122,leave,100,56,2.1739130434782608
109,144,makes,93,59,2.130046583850932
112,182,please,99,53,2.0368788819875783
115,222,stop,106,48,1.975155279503105
116,33,care,96,52,1.937888198757764
117,235,though,95,52,1.9177018633540373
118,269,year,133,36,1.858695652173913
122,183,power,192,24,1.7888198757763976
124,64,face,83,55,1.7721273291925466
125,6,another,88,51,1.7422360248447204
126,77,found,92,48,1.7142857142857142
127,32,came,89,49,1.6929347826086956
129,147,may,84,49,1.5978260869565215
131,173,old,81,49,1.5407608695652173
132,161,must,83,47,1.5143633540372672
133,257,whole,78,50,1.513975155279503
134,108,home,75,52,1.513975155279503
135,162,name,143,27,1.498835403726708
136,100,hard,103,37,1.479425465838509
141,248,two,97,38,1.4309006211180124
142,155,money,137,26,1.3827639751552796
144,132,looking,124,28,1.3478260869565215
145,156,morning,85,39,1.2868788819875776
146,148,maybe,85,39,1.2868788819875776
147,219,start,74,44,1.2639751552795029
148,266,wrong,72,45,1.2577639751552796
150,236,thought,76,41,1.2096273291925466
151,251,wait,85,36,1.187888198757764
153,115,kind,65,47,1.185947204968944
154,180,place,76,40,1.1801242236024845
155,47,days,80,38,1.1801242236024845
158,36,change,84,34,1.108695652173913
159,226,sure,77,37,1.1059782608695652
160,20,best,70,40,1.0869565217391304
165,208,side,65,42,1.059782608695652
166,50,done,77,35,1.046195652173913
167,166,needs,127,21,1.0353260869565215
169,135,lost,75,35,1.0190217391304348
171,31,call,69,37,0.9910714285714286
173,185,pretty,97,26,0.9790372670807452
175,69,far,64,38,0.9440993788819876
176,197,saw,84,28,0.9130434782608696
177,181,play,80,29,0.9006211180124224
178,79,friend,70,33,0.8967391304347826
180,121,last,56,41,0.8913043478260869
181,186,put,60,38,0.8850931677018633
183,54,end,54,42,0.8804347826086957
188,34,cause,65,34,0.8579192546583851
190,176,open,63,35,0.8559782608695652
192,249,understand,53,41,0.843555900621118
194,243,took,66,32,0.8198757763975155
196,261,woman,83,25,0.8055124223602484
200,270,years,59,34,0.7787267080745341
202,214,sometimes,66,30,0.7686335403726708
205,241,told,57,34,0.7523291925465838
206,53,else,55,35,0.7472826086956522
207,11,ask,52,37,0.7468944099378882
208,8,anything,56,34,0.7391304347826086
209,146,many,54,35,0.7336956521739131
211,150,might,67,28,0.7282608695652174
212,40,comes,72,26,0.7267080745341615
215,272,young,67,27,0.702251552795031
216,38,close,53,34,0.6995341614906833
219,82,game,91,19,0.6711956521739131
220,189,remember,54,32,0.6708074534161491
224,258,win,79,21,0.6440217391304348
225,201,set,66,25,0.640527950310559
230,17,bad,58,26,0.5854037267080745
232,247,turn,53,28,0.5760869565217391
237,160,music,72,19,0.531055900621118
255,158,move,50,19,0.3687888198757764
258,231,thank,52,15,0.3027950310559006
266,23,bit,52,11,0.2220496894409938
