,word,totalRepetitions,fileOcurrences,weight
196,together,72,39,1.0900621118012421
53,even,73,37,1.048524844720497
47,door,84,32,1.0434782608695652
124,mine,66,40,1.0248447204968945
167,set,105,25,1.0190217391304348
176,something,71,36,0.9922360248447205
104,leave,68,37,0.9767080745341615
171,silent,76,33,0.9736024844720497
151,place,61,41,0.9708850931677019
86,head,78,32,0.968944099378882
15,arms,69,36,0.9642857142857143
120,may,77,32,0.9565217391304348
162,rock,120,20,0.9316770186335404
42,coming,91,26,0.9184782608695652
156,rainbow,102,23,0.9107142857142857
150,people,67,35,0.9103260869565217
201,turn,65,36,0.9083850931677019
25,bless,132,17,0.8711180124223602
131,must,66,34,0.8711180124223602
50,earth,124,18,0.8664596273291926
183,sure,65,34,0.8579192546583851
31,call,65,34,0.8579192546583851
188,tender,56,39,0.8478260869565217
103,last,70,31,0.842391304347826
128,mother,57,37,0.8187111801242236
178,soul,78,27,0.8175465838509317
212,woman,72,29,0.8105590062111802
194,till,62,33,0.7942546583850931
170,show,66,31,0.7942546583850931
33,care,60,34,0.7919254658385093
101,knew,78,26,0.7872670807453416
105,left,56,36,0.782608695652174
116,made,52,38,0.7670807453416149
121,maybe,65,30,0.7569875776397516
118,makes,65,30,0.7569875776397516
200,try,60,32,0.7453416149068323
179,start,54,35,0.7336956521739131
154,put,63,30,0.7336956521739131
9,``,57,33,0.7302018633540373
85,hard,60,30,0.6987577639751553
37,close,60,29,0.6754658385093167
180,stay,60,29,0.6754658385093167
66,found,58,30,0.6754658385093167
64,first,58,30,0.6754658385093167
148,paradise,101,17,0.6665372670807453
166,seen,59,29,0.6642080745341615
68,future,61,28,0.6630434782608695
83,hand,53,32,0.6583850931677019
161,road,60,28,0.6521739130434783
52,enough,53,31,0.6378105590062112
155,rain,65,25,0.6308229813664596
139,nice,73,22,0.6234472049689441
204,walk,56,28,0.6086956521739131
40,comes,58,27,0.6079192546583851
70,getting,68,23,0.6071428571428571
130,music,67,22,0.5722049689440993
157,real,55,26,0.5551242236024845
36,city,71,20,0.5512422360248447
38,clouds,52,27,0.5450310559006211
45,darling,61,23,0.5446428571428571
59,family,100,14,0.5434782608695652
23,big,50,27,0.5240683229813664
75,goes,56,24,0.5217391304347826
193,tight,51,26,0.514751552795031
169,shine,51,23,0.45535714285714285
126,money,58,20,0.4503105590062112
216,ya,61,19,0.44992236024844723
32,candy,88,13,0.4440993788819876
44,daddy,68,16,0.422360248447205
100,king,60,17,0.39596273291925466
138,next,59,17,0.3893633540372671
175,slow,60,16,0.37267080745341613
192,three,52,17,0.34316770186335405
213,wonderful,56,15,0.32608695652173914
60,fantasy,84,10,0.32608695652173914
122,melody,78,10,0.3027950310559006
41,comin,65,11,0.27756211180124224
168,shake,62,10,0.2406832298136646
159,respect,64,8,0.19875776397515527
147,pa,75,2,0.05822981366459627
146,oom,52,2,0.040372670807453416
