,word,totalRepetitions,fileOcurrences,weight
1030,"('get', 'ready')",12,4,0.018633540372670808
2665,"('still', 'rat')",24,2,0.018633540372670808
2028,"('night', 'day')",8,6,0.018633540372670808
2292,"('rage', 'still')",24,2,0.018633540372670808
739,"('evil', 'woman')",46,1,0.017857142857142856
1326,"('higher', 'higher')",15,3,0.01746894409937888
887,"('fire', 'feel')",9,5,0.01746894409937888
3055,"('war', 'children')",15,3,0.01746894409937888
2005,"('never', 'going')",9,5,0.01746894409937888
3026,"('want', 'live')",15,3,0.01746894409937888
2407,"('running', 'away')",9,5,0.01746894409937888
1567,"('let', 'fire')",15,3,0.01746894409937888
792,"('feel', 'heart')",9,5,0.01746894409937888
914,"('fire', 'one')",9,5,0.01746894409937888
938,"('fire', 'went')",15,3,0.01746894409937888
937,"('fire', 'want')",9,5,0.01746894409937888
3216,"('would', 'never')",9,5,0.01746894409937888
365,"('burns', 'ring')",15,3,0.01746894409937888
1490,"('know', 'got')",9,5,0.01746894409937888
1978,"('need', 'love')",11,4,0.017080745341614908
820,"('fight', 'death')",11,4,0.017080745341614908
2382,"('rock', 'like')",22,2,0.017080745341614908
1106,"('goin', 'nowhere')",22,2,0.017080745341614908
832,"('fight', 'let')",11,4,0.017080745341614908
337,"('burn', 'fire')",11,4,0.017080745341614908
2821,"('throw', 'away')",11,4,0.017080745341614908
522,"('danger', 'zone')",22,2,0.017080745341614908
3053,"('war', 'battle')",21,2,0.016304347826086956
895,"('fire', 'go')",7,6,0.016304347826086956
2752,"('take', 'look')",7,6,0.016304347826086956
1621,"('life', 'got')",14,3,0.016304347826086956
834,"('fight', 'like')",14,3,0.016304347826086956
2139,"('one', 'thing')",7,6,0.016304347826086956
153,"('baby', 'burn')",21,2,0.016304347826086956
827,"('fight', 'get')",10,4,0.015527950310559006
1707,"('live', 'life')",8,5,0.015527950310559006
2751,"('take', 'little')",8,5,0.015527950310559006
382,"('care', 'care')",8,5,0.015527950310559006
2928,"('turn', 'away')",8,5,0.015527950310559006
2841,"('time', 'one')",8,5,0.015527950310559006
76,"('always', 'take')",10,4,0.015527950310559006
638,"('driving', 'mad')",20,2,0.015527950310559006
1572,"('let', 'know')",8,5,0.015527950310559006
1445,"('keep', 'holding')",10,4,0.015527950310559006
1873,"('many', 'people')",10,4,0.015527950310559006
2298,"('rat', 'cage')",20,2,0.015527950310559006
362,"('burns', 'burns')",20,2,0.015527950310559006
1813,"('love', 'sweet')",8,5,0.015527950310559006
2802,"('think', 'could')",20,2,0.015527950310559006
754,"('fade', 'away')",8,5,0.015527950310559006
2200,"('pain', 'would')",8,5,0.015527950310559006
2079,"('oh', 'going')",8,5,0.015527950310559006
2075,"('oh', 'come')",8,5,0.015527950310559006
2020,"('never', 'want')",10,4,0.015527950310559006
1170,"('got', 'reason')",8,5,0.015527950310559006
2354,"('right', 'hate')",13,3,0.015139751552795032
840,"('fight', 'right')",13,3,0.015139751552795032
2359,"('right', 'love')",13,3,0.015139751552795032
1252,"('hate', 'world')",13,3,0.015139751552795032
3137,"('went', 'flames')",13,3,0.015139751552795032
952,"('flames', 'went')",13,3,0.015139751552795032
1334,"('hit', 'hit')",39,1,0.015139751552795032
496,"('crash', 'crash')",13,3,0.015139751552795032
3138,"('went', 'higher')",13,3,0.015139751552795032
488,"('could', 'hate')",19,2,0.014751552795031056
3159,"('wins', 'war')",38,1,0.014751552795031056
1629,"('life', 'oh')",19,2,0.014751552795031056
586,"('desire', 'desire')",19,2,0.014751552795031056
272,"('bomb', 'baby')",19,2,0.014751552795031056
812,"('fight', 'authority')",19,2,0.014751552795031056
415,"('civil', 'war')",19,2,0.014751552795031056
657,"('ease', 'pain')",19,2,0.014751552795031056
1265,"('hear', 'voices')",9,4,0.013975155279503106
442,"('come', 'get')",12,3,0.013975155279503106
3169,"('without', 'love')",12,3,0.013975155279503106
2487,"('see', 'want')",9,4,0.013975155279503106
1264,"('hear', 'say')",12,3,0.013975155279503106
2189,"('pain', 'much')",18,2,0.013975155279503106
799,"('feel', 'pressure')",9,4,0.013975155279503106
917,"('fire', 'put')",12,3,0.013975155279503106
164,"('baby', 'nobody')",18,2,0.013975155279503106
972,"('fought', 'war')",36,1,0.013975155279503106
3218,"('would', 'say')",9,4,0.013975155279503106
340,"('burn', 'heart')",9,4,0.013975155279503106
2259,"('pressure', 'pressure')",18,2,0.013975155279503106
2846,"('time', 'time')",6,6,0.013975155279503106
1078,"('go', 'got')",6,6,0.013975155279503106
2154,"('ooh', 'yeah')",6,6,0.013975155279503106
1775,"('love', 'always')",12,3,0.013975155279503106
2062,"('nothing', 'say')",9,4,0.013975155279503106
194,"('bang', 'shoot')",12,3,0.013975155279503106
1322,"('higher', 'burns')",12,3,0.013975155279503106
411,"('children', 'shot')",12,3,0.013975155279503106
183,"('back', 'one')",6,6,0.013975155279503106
1966,"('must', 'fight')",9,4,0.013975155279503106
2935,"('turn', 'turn')",9,4,0.013975155279503106
617,"('doctor', 'doctor')",18,2,0.013975155279503106
134,"('away', 'never')",9,4,0.013975155279503106
796,"('feel', 'love')",9,4,0.013975155279503106
97,"('another', 'day')",6,6,0.013975155279503106
428,"('cold', 'fire')",18,2,0.013975155279503106
1902,"('memoria', 'memoria')",18,2,0.013975155279503106
760,"('fall', 'fall')",7,5,0.01358695652173913
1662,"('like', 'fool')",7,5,0.01358695652173913
863,"('find', 'way')",7,5,0.01358695652173913
785,"('feel', 'alive')",7,5,0.01358695652173913
2744,"('take', 'hand')",7,5,0.01358695652173913
2581,"('somebody', 'else')",7,5,0.01358695652173913
329,"('burn', 'away')",7,5,0.01358695652173913
421,"('close', 'eyes')",7,5,0.01358695652173913
2353,"('right', 'got')",7,5,0.01358695652173913
3015,"('want', 'go')",7,5,0.01358695652173913
2137,"('one', 'take')",7,5,0.01358695652173913
2384,"('rock', 'roll')",7,5,0.01358695652173913
2474,"('see', 'face')",7,5,0.01358695652173913
1457,"('killer', 'life')",35,1,0.01358695652173913
2001,"('never', 'get')",7,5,0.01358695652173913
1158,"('got', 'fight')",17,2,0.013198757763975156
270,"('body', 'like')",17,2,0.013198757763975156
676,"('enough', 'never')",11,3,0.01281055900621118
1019,"('get', 'enough')",11,3,0.01281055900621118
1159,"('got', 'fire')",11,3,0.01281055900621118
2166,"('pain', 'away')",11,3,0.01281055900621118
2493,"('seems', 'like')",11,3,0.01281055900621118
2771,"('tell', 'ai')",11,3,0.01281055900621118
307,"('bring', 'back')",11,3,0.01281055900621118
1817,"('love', 'yeah')",11,3,0.01281055900621118
230,"('believe', 'stand')",11,3,0.01281055900621118
2138,"('one', 'tell')",11,3,0.01281055900621118
1501,"('know', 'make')",11,3,0.01281055900621118
2132,"('one', 'night')",8,4,0.012422360248447204
688,"('even', 'pain')",16,2,0.012422360248447204
1750,"('lord', 'yeah')",8,4,0.012422360248447204
1871,"('many', 'days')",8,4,0.012422360248447204
2169,"('pain', 'coming')",16,2,0.012422360248447204
2396,"('run', 'hide')",8,4,0.012422360248447204
1964,"('must', 'call')",8,4,0.012422360248447204
1600,"('lie', 'kiss')",8,4,0.012422360248447204
2489,"('see', 'world')",8,4,0.012422360248447204
3145,"('white', 'riot')",32,1,0.012422360248447204
373,"('call', 'name')",8,4,0.012422360248447204
3075,"('war', 'never')",8,4,0.012422360248447204
3220,"('would', 'send')",16,2,0.012422360248447204
988,"('fuel', 'fire')",8,4,0.012422360248447204
1384,"('hurt', 'oh')",8,4,0.012422360248447204
138,"('away', 'run')",16,2,0.012422360248447204
3209,"('would', 'dare')",16,2,0.012422360248447204
1216,"('hang', 'fire')",32,1,0.012422360248447204
172,"('back', 'always')",16,2,0.012422360248447204
10,"('actin', 'like')",8,4,0.012422360248447204
1315,"('hide', 'away')",8,4,0.012422360248447204
2866,"('took', 'night')",31,1,0.01203416149068323
440,"('come', 'crash')",15,2,0.011645962732919254
449,"('come', 'like')",10,3,0.011645962732919254
1666,"('like', 'know')",6,5,0.011645962732919254
1553,"('left', 'fight')",15,2,0.011645962732919254
1983,"('need', 'someone')",15,2,0.011645962732919254
2238,"('please', 'come')",10,3,0.011645962732919254
2647,"('start', 'fire')",15,2,0.011645962732919254
1604,"('lie', 'never')",10,3,0.011645962732919254
2742,"('take', 'fight')",10,3,0.011645962732919254
2225,"('people', 'say')",10,3,0.011645962732919254
1739,"('lookin', 'like')",10,3,0.011645962732919254
748,"('eyes', 'love')",6,5,0.011645962732919254
3025,"('want', 'leave')",6,5,0.011645962732919254
2176,"('pain', 'give')",10,3,0.011645962732919254
147,"('away', 'want')",10,3,0.011645962732919254
1279,"('heart', 'mine')",6,5,0.011645962732919254
1626,"('life', 'like')",6,5,0.011645962732919254
1605,"('lie', 'tell')",10,3,0.011645962732919254
2773,"('tell', 'got')",10,3,0.011645962732919254
1676,"('like', 'one')",6,5,0.011645962732919254
1372,"('hurricane', 'hurricane')",10,3,0.011645962732919254
3230,"('wrong', 'right')",6,5,0.011645962732919254
1519,"('know', 'wrong')",6,5,0.011645962732919254
117,"('arrow', 'heart')",14,2,0.010869565217391304
3040,"('want', 'stop')",7,4,0.010869565217391304
2023,"('new', 'life')",14,2,0.010869565217391304
2120,"('one', 'ever')",7,4,0.010869565217391304
897,"('fire', 'got')",7,4,0.010869565217391304
84,"('among', 'living')",14,2,0.010869565217391304
3027,"('want', 'lose')",7,4,0.010869565217391304
1469,"('kisses', 'burn')",7,4,0.010869565217391304
2173,"('pain', 'feel')",7,4,0.010869565217391304
845,"('fight', 'want')",7,4,0.010869565217391304
2190,"('pain', 'need')",7,4,0.010869565217391304
